2016,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
,,,,,
,,Lib/Nat,ALP,,Net on 2PP (Incumbent - Oppositon) - 2016
21–24 Sep 2017,24-Sep-17,0.46,0.54,449,-8.0000000000000016E-2
26-Sep-17,26-Sep-17,0.47,0.53,451,-6.0000000000000053E-2
01-Oct-17,01-Oct-17,0.47,0.53,456,-6.0000000000000053E-2
04-Oct-17,04-Oct-17,0.46,0.54,459,-8.0000000000000016E-2
12–15 Oct 2017,15-Oct-17,0.46,0.54,470,-8.0000000000000016E-2
24-Oct-17,24-Oct-17,0.48,0.52,479,-4.0000000000000036E-2
26–29 Oct 2017,29-Oct-17,0.46,0.54,484,-8.0000000000000016E-2
30-Oct-17,30-Oct-17,0.46,0.54,485,-8.0000000000000016E-2
13-Nov-17,13-Nov-17,0.45,0.55000000000000004,499,-0.10000000000000003
14-Nov-17,14-Nov-17,0.48,0.52,500,-4.0000000000000036E-2
14-Nov-17,14-Nov-17,0.46,0.54,500,-8.0000000000000016E-2
21-Nov-17,21-Nov-17,0.46,0.54,507,-8.0000000000000016E-2
23–27 Nov 2017,27-Nov-17,0.47,0.53,513,-6.0000000000000053E-2
28-Nov-17,28-Nov-17,0.46,0.54,514,-8.0000000000000016E-2
29-Nov-17,29-Nov-17,0.47,0.53,515,-6.0000000000000053E-2
30 Nov - 3 Dec 2017,03-Dec-17,0.47,0.53,519,-6.0000000000000053E-2
05-Dec-17,05-Dec-17,0.45,0.55000000000000004,521,-0.10000000000000003
7–10 Dec 2017,10-Dec-17,0.5,0.5,526,0
12-Dec-17,12-Dec-17,0.46,0.54,528,-8.0000000000000016E-2
14–17 Dec 2017,17-Dec-17,0.47,0.53,533,-6.0000000000000053E-2
19-Dec-17,19-Dec-17,0.47,0.53,535,-6.0000000000000053E-2
11–15 Jan 2018,15-Jan-18,0.47,0.53,562,-6.0000000000000053E-2
25-Jan-18,25-Jan-18,0.48,0.52,572,-4.0000000000000036E-2
26–28 Jan 2018,28-Jan-18,0.46,0.54,575,-8.0000000000000016E-2
1–3 Feb 2018,03-Feb-18,0.48,0.52,581,-4.0000000000000036E-2
8–11 Feb 2018,11-Feb-18,0.46,0.54,589,-8.0000000000000016E-2
15–18 Feb 2018,18-Feb-18,0.47,0.53,596,-6.0000000000000053E-2
24-Feb-18,24-Feb-18,0.46,0.54,602,-8.0000000000000016E-2
22–25 Feb 2018,25-Feb-18,0.47,0.53,603,-6.0000000000000053E-2
1–4 Mar 2018,04-Mar-18,0.47,0.53,610,-6.0000000000000053E-2
8–11 Mar 2018,11-Mar-18,0.46,0.54,617,-8.0000000000000016E-2
3–11 Mar 2018,11-Mar-18,0.46,0.54,617,-8.0000000000000016E-2
22–25 Mar 2018,25-Mar-18,0.48,0.52,631,-4.0000000000000036E-2
22–25 Mar 2018,25-Mar-18,0.47,0.53,631,-6.0000000000000053E-2
