2007,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
,,,,,
,,ALP,Lib/Nat,Days Since,Net on 2PP (Incumbent - Oppositon) - 2007
,24-Nov-07,0.52700000000000002,0.47299999999999998,0,5.4000000000000048E-2
,20-Jan-08,0.57999999999999996,0.42,57,0.15999999999999998
15–17 Feb 2008,17-Feb-08,0.56999999999999995,0.43,85,0.13999999999999996
29 Feb – 2 Mar 2008,02-Mar-08,0.63,0.37,99,0.26
14–16 Mar 2008,16-Mar-08,0.59,0.41,113,0.18
4–6 Apr 2008,06-Apr-08,0.59,0.41,134,0.18
18–20 Apr 2008,20-Apr-08,0.61,0.39,148,0.21999999999999997
2–4 May 2008,04-May-08,0.56999999999999995,0.43,162,0.13999999999999996
16–18 May 2008,18-May-08,0.56999999999999995,0.43,176,0.13999999999999996
30 May – 1 Jun 2008,01-Jun-08,0.56999999999999995,0.43,190,0.13999999999999996
13–15 Jun 2008,15-Jun-08,0.59,0.41,204,0.18
27–29 Jun 2008,29-Jun-08,0.55000000000000004,0.45,218,0.10000000000000003
11–13 Jul 2008,13-Jul-08,0.55000000000000004,0.45,232,0.10000000000000003
25–27 Jul 2008,27-Jul-08,0.56999999999999995,0.43,246,0.13999999999999996
8–10 Aug 2008,10-Aug-08,0.56999999999999995,0.43,260,0.13999999999999996
22–24 Aug 2008,24-Aug-08,0.56000000000000005,0.44,274,0.12000000000000005
5–7 Sep 2008,07-Sep-08,0.56000000000000005,0.44,288,0.12000000000000005
19–21 Sep 2008,21-Sep-08,0.55000000000000004,0.45,302,0.10000000000000003
10–12 Oct 2008,12-Oct-08,0.55000000000000004,0.45,323,0.10000000000000003
24–26 Oct 2008,26-Oct-08,0.54,0.46,337,8.0000000000000016E-2
7–9 Nov 2008,09-Nov-08,0.55000000000000004,0.45,351,0.10000000000000003
21–23 Nov 2008,23-Nov-08,0.55000000000000004,0.45,365,0.10000000000000003
5–7 Dec 2008,07-Dec-08,0.59,0.41,379,0.18
16–18 Jan 2009,18-Jan-09,0.54,0.46,421,8.0000000000000016E-2
6–8 Feb 2009,08-Feb-09,0.57999999999999996,0.42,442,0.15999999999999998
20–22 Feb 2009,22-Feb-09,0.57999999999999996,0.42,456,0.15999999999999998
7–9 Mar 2009,09-Mar-09,0.56000000000000005,0.44,471,0.12000000000000005
20–22 Mar 2009,22-Mar-09,0.56000000000000005,0.44,484,0.12000000000000005
3–5 Apr 2009,05-Apr-09,0.57999999999999996,0.42,498,0.15999999999999998
17–19 Apr 2009,19-Apr-09,0.57999999999999996,0.42,512,0.15999999999999998
1–3 May 2009,03-May-09,0.55000000000000004,0.45,526,0.10000000000000003
15–17 May 2009,17-May-09,0.56000000000000005,0.44,540,0.12000000000000005
29–31 May 2009,31-May-09,0.55000000000000004,0.45,554,0.10000000000000003
12–14 Jun 2009,14-Jun-09,0.53,0.47,568,6.0000000000000053E-2
26–28 Jun 2009,28-Jun-09,0.56000000000000005,0.44,582,0.12000000000000005
10–12 Jul 2009,12-Jul-09,0.55000000000000004,0.45,596,0.10000000000000003
24–26 Jul 2009,26-Jul-09,0.56999999999999995,0.43,610,0.13999999999999996
7–9 Aug 2009,09-Aug-09,0.56999999999999995,0.43,624,0.13999999999999996
21–23 Aug 2009,23-Aug-09,0.55000000000000004,0.45,638,0.10000000000000003
4–6 Sep 2009,06-Sep-09,0.55000000000000004,0.45,652,0.10000000000000003
18–20 Sep 2009,20-Sep-09,0.55000000000000004,0.45,666,0.10000000000000003
2 – 4 Oct 2009,04-Oct-09,0.57999999999999996,0.42,680,0.15999999999999998
16–18 Oct 2009,18-Oct-09,0.59,0.41,694,0.18
30 Oct – 1 Nov 2009,01-Nov-09,0.52,0.48,708,4.0000000000000036E-2
13–15 Nov 2009,15-Nov-09,0.56000000000000005,0.44,722,0.12000000000000005
27–29 Nov 2009,29-Nov-09,0.56999999999999995,0.43,736,0.13999999999999996
4–6 Dec 2009,06-Dec-09,0.56000000000000005,0.44,743,0.12000000000000005
15–17 Jan 2010,17-Jan-10,0.54,0.46,785,8.0000000000000016E-2
29–31 Jan 2010,31-Jan-10,0.52,0.48,799,4.0000000000000036E-2
12–14 Feb 2010,14-Feb-10,0.53,0.47,813,6.0000000000000053E-2
26–28 Feb 2010,28-Feb-10,0.52,0.48,827,4.0000000000000036E-2
12–14 Mar 2010,14-Mar-10,0.52,0.48,841,4.0000000000000036E-2
26–28 Mar 2010,28-Mar-10,0.56000000000000005,0.44,855,0.12000000000000005
16–18 Apr 2010,18-Apr-10,0.54,0.46,876,8.0000000000000016E-2
30 Apr- 2 May 2010,02-May-10,0.49,0.51,890,-2.0000000000000018E-2
14–16 May 2010,16-May-10,0.5,0.5,904,0
28–30 May 2010,30-May-10,0.51,0.49,918,2.0000000000000018E-2
18–20 Jun 2010,20-Jun-10,0.52,0.48,939,4.0000000000000036E-2
25–27 Jun 2010,27-Jun-10,0.53,0.47,946,6.0000000000000053E-2
16–18 Jul 2010,18-Jul-10,0.55000000000000004,0.45,967,0.10000000000000003
23–25 Jul 2010,25-Jul-10,0.52,0.48,974,4.0000000000000036E-2
30 Jul – 1 Aug 2010,01-Aug-10,0.5,0.5,981,0
6–8 Aug 2010,08-Aug-10,0.52,0.48,988,4.0000000000000036E-2
13–15 Aug 2010,15-Aug-10,0.52,0.48,995,4.0000000000000036E-2
17–19 Aug 2010,19-Aug-10,0.502,0.498,999,4.0000000000000036E-3
