2022,,,,,
,Date,Two-party-preferred,,,
,,ALP,Lib/Nat,Days Since Election,Net on 2PP (Incumbent - Oppositon) - 2022
27 February – 5 March 2023,05-Mar-23,0.54500000000000004,0.45500000000000002,288,9.0000000000000024E-2
1–4 March 2023,04-Mar-23,0.54,0.46,287,8.0000000000000016E-2
20–26 February 2023,26-Feb-23,0.56499999999999995,0.435,281,0.12999999999999995
15–19 February 2023,19-Feb-23,0.51,0.42,274,9.0000000000000024E-2
15–19 February 2023,19-Feb-23,0.57899999999999996,0.42099999999999999,274,0.15799999999999997
13–19 February 2023,19-Feb-23,0.58499999999999996,0.41499999999999998,274,0.16999999999999998
1–6 February 2023,06-Feb-23,0.55000000000000004,0.4,261,0.15000000000000002
1–4 February 2023,04-Feb-23,0.55000000000000004,0.45,259,0.10000000000000003
23–29 January 2023,29-Jan-23,0.56999999999999995,0.43,253,0.13999999999999996
18–22 January 2023,22-Jan-23,0.53,0.42,246,0.11000000000000004
17–22 January 2023,22-Jan-23,0.6,0.4,246,0.19999999999999996
16–18 December 2022,18-Dec-22,0.54,0.46,211,8.0000000000000016E-2
7–11 December 2022,11-Dec-22,0.51,0.44,204,7.0000000000000007E-2
30 November–4 December 2022,04-Dec-22,0.6,0.4,197,0.19999999999999996
30 November–3 December 2022,03-Dec-22,0.55000000000000004,0.45,196,0.10000000000000003
23–27 November 2022,27-Nov-22,0.51,0.43,190,8.0000000000000016E-2
27–30 October 2022,30-Oct-22,0.55000000000000004,0.45,162,0.10000000000000003
26–30 October 2022,30-Oct-22,0.57399999999999995,0.42599999999999999,162,0.14799999999999996
5–9 October 2022,09-Oct-22,0.58299999999999996,0.41699999999999998,141,0.16599999999999998
14–18 September 2022,18-Sep-22,0.56999999999999995,0.43,120,0.13999999999999996
31 August–3 September 2022,03-Sep-22,0.56999999999999995,0.43,105,0.13999999999999996
17–21 August 2022,21-Aug-22,0.61299999999999999,0.38700000000000001,92,0.22599999999999998
27–30 July 2022,30-Jul-22,0.56000000000000005,0.44,70,0.12000000000000005
14–17 June 2022,17-Jun-22,0.52200000000000002,0.47799999999999998,27,4.4000000000000039E-2
13–19 June 2022,19-Jun-22,0.53,0.47,29,6.0000000000000053E-2
21-May-22,21-May-22,0.52100000000000002,0.47899999999999998,0,4.2000000000000037E-2
