2013,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
16–18 May 2014,18-May-14,0.42499999999999999,0.57499999999999996,253,-0.14999999999999997
20/05/2014,20-May-14,0.48,0.52,255,-4.0000000000000036E-2
27/05/2014,27-May-14,0.46,0.54,262,-8.0000000000000016E-2
30 May–1 Jun 2014,01-Jun-14,0.47,0.53,267,-6.0000000000000053E-2
13–15 Jun 2014,15-Jun-14,0.45,0.55000000000000004,281,-0.10000000000000003
27–29 Jun 2014,29-Jun-14,0.42499999999999999,0.57499999999999996,295,-0.14999999999999997
30/06/2014,30-Jun-14,0.48,0.52,296,-4.0000000000000036E-2
01/07/2014,01-Jul-14,0.46,0.54,297,-8.0000000000000016E-2
11–13 Jul 2014,13-Jul-14,0.46,0.54,309,-8.0000000000000016E-2
25–27 Jul 2014,27-Jul-14,0.48,0.52,323,-4.0000000000000036E-2
9–10 Aug 2014,10-Aug-14,0.48,0.52,337,-4.0000000000000036E-2
8–10 Aug 2014,10-Aug-14,0.44,0.56000000000000005,337,-0.12000000000000005
19/08/2014,19-Aug-14,0.44500000000000001,0.55500000000000005,346,-0.11000000000000004
22–24 Aug 2014,24-Aug-14,0.48,0.52,351,-4.0000000000000036E-2
"16–17, 23–24 Aug 2014",24-Aug-14,0.49,0.51,351,-2.0000000000000018E-2
"30–31 Aug, 6–7 Sep 2014",07-Sep-14,0.49,0.51,365,-2.0000000000000018E-2
5–7 Sep 2014,07-Sep-14,0.46,0.54,365,-8.0000000000000016E-2
18/09/2014,18-Sep-14,0.45500000000000002,0.54500000000000004,376,-9.0000000000000024E-2
"13–14, 20–21 Sep 2014",21-Sep-14,0.49,0.51,379,-2.0000000000000018E-2
23/09/2014,23-Sep-14,0.49,0.51,381,-2.0000000000000018E-2
4–5 Oct 2014,05-Oct-14,0.48,0.52,393,-4.0000000000000036E-2
4–5 Oct 2014,05-Oct-14,0.47,0.53,393,-6.0000000000000053E-2
07/10/2014,07-Oct-14,0.48,0.52,395,-4.0000000000000036E-2
14/10/2014,14-Oct-14,0.48,0.52,402,-4.0000000000000036E-2
20/10/2014,20-Oct-14,0.47,0.53,408,-6.0000000000000053E-2
21/10/2014,21-Oct-14,0.48,0.52,409,-4.0000000000000036E-2
21/10/2014,21-Oct-14,0.47,0.53,409,-6.0000000000000053E-2
23/10/2014,23-Oct-14,0.47,0.53,411,-6.0000000000000053E-2
28/10/2014,28-Oct-14,0.49,0.51,416,-2.0000000000000018E-2
30 Oct–1 Nov 2014,01-Nov-14,0.45500000000000002,0.54500000000000004,420,-9.0000000000000024E-2
"25–26 Oct, 1–2 Nov 2014",02-Nov-14,0.48,0.52,421,-4.0000000000000036E-2
04/11/2014,04-Nov-14,0.48,0.52,423,-4.0000000000000036E-2
04/11/2014,04-Nov-14,0.46,0.54,423,-8.0000000000000016E-2
11/11/2014,11-Nov-14,0.44500000000000001,0.55500000000000005,430,-0.11000000000000004
17/11/2014,17-Nov-14,0.45,0.55000000000000004,436,-0.10000000000000003
17/11/2014,17-Nov-14,0.48,0.52,436,-4.0000000000000036E-2
18/11/2014,18-Nov-14,0.47,0.53,437,-6.0000000000000053E-2
21/11/2014,21-Nov-14,0.48,0.52,440,-4.0000000000000036E-2
25/11/2014,25-Nov-14,0.46500000000000002,0.53500000000000003,444,-7.0000000000000007E-2
29–30 Nov 2014,30-Nov-14,0.47,0.53,449,-6.0000000000000053E-2
"22–23, 29–30 Nov 2014",30-Nov-14,0.46,0.54,449,-8.0000000000000016E-2
02/12/2014,02-Dec-14,0.45,0.55000000000000004,451,-0.10000000000000003
2–4 Dec 2014,04-Dec-14,0.48,0.52,453,-4.0000000000000036E-2
4–6 Dec 2014,06-Dec-14,0.42499999999999999,0.57499999999999996,455,-0.14999999999999997
"6–7, 13–14 Dec 2014",14-Dec-14,0.46,0.54,463,-8.0000000000000016E-2
12–15 Dec 2014,15-Dec-14,0.48,0.52,464,-4.0000000000000036E-2
16/12/2014,16-Dec-14,0.435,0.56499999999999995,465,-0.12999999999999995
23–27 Dec 2014,27-Dec-14,0.45500000000000002,0.54500000000000004,476,-9.0000000000000024E-2
12/01/2015,12-Jan-15,0.46,0.54,492,-8.0000000000000016E-2
13/01/2015,13-Jan-15,0.47,0.53,493,-6.0000000000000053E-2
20/01/2015,20-Jan-15,0.46,0.54,500,-8.0000000000000016E-2
27/01/2015,27-Jan-15,0.43,0.56999999999999995,507,-0.13999999999999996
27/01/2015,27-Jan-15,0.46,0.54,507,-8.0000000000000016E-2
28–30 Jan 2015,30-Jan-15,0.43,0.56999999999999995,510,-0.13999999999999996
05/02/2015,05-Feb-15,0.42499999999999999,0.57499999999999996,516,-0.14999999999999997
4–5 Feb 2015,05-Feb-15,0.45,0.55000000000000004,516,-0.10000000000000003
6–8 Feb 2015,08-Feb-15,0.47,0.53,519,-6.0000000000000053E-2
"31 Jan–1, 7–8 Feb 2015",08-Feb-15,0.43,0.56999999999999995,519,-0.13999999999999996
20–22 Feb 2015,22-Feb-15,0.49,0.51,533,-2.0000000000000018E-2
20–22 Feb 2015,22-Feb-15,0.47,0.53,533,-6.0000000000000053E-2
26–28 Feb 2015,28-Feb-15,0.46500000000000002,0.53500000000000003,539,-7.0000000000000007E-2
7–8 Mar 2015,08-Mar-15,0.47,0.53,547,-6.0000000000000053E-2
"28 Feb–1, 7–8 Mar 2015",08-Mar-15,0.45,0.55000000000000004,547,-0.10000000000000003
10/03/2015,10-Mar-15,0.48,0.52,549,-4.0000000000000036E-2
17/03/2015,17-Mar-15,0.44,0.56000000000000005,556,-0.12000000000000005
20–22 Mar 2015,22-Mar-15,0.46,0.54,561,-8.0000000000000016E-2
"14–15, 21–22 Mar 2015",22-Mar-15,0.49,0.51,561,-2.0000000000000018E-2
29/03/2015,29-Mar-15,0.47,0.53,568,-6.0000000000000053E-2
"28–29 Mar, 3–6 Apr 2015",06-Apr-15,0.46,0.54,576,-8.0000000000000016E-2
9–11 Apr 2015,11-Apr-15,0.49,0.51,581,-2.0000000000000018E-2
10–12 Apr 2015,12-Apr-15,0.48,0.52,582,-4.0000000000000036E-2
14/04/2015,14-Apr-15,0.47,0.53,584,-6.0000000000000053E-2
"11–12, 18–19 Apr 2015",19-Apr-15,0.48,0.52,589,-4.0000000000000036E-2
21/04/2015,21-Apr-15,0.47,0.53,591,-6.0000000000000053E-2
28/04/2015,28-Apr-15,0.46500000000000002,0.53500000000000003,598,-7.0000000000000007E-2
04/05/2015,04-May-15,0.48,0.52,604,-4.0000000000000036E-2
04/05/2015,04-May-15,0.48,0.52,604,-4.0000000000000036E-2
7–10 May 2015,10-May-15,0.47,0.53,610,-6.0000000000000053E-2
13/05/2015,13-May-15,0.47,0.53,613,-6.0000000000000053E-2
17/05/2015,17-May-15,0.49,0.51,617,-2.0000000000000018E-2
17/05/2015,17-May-15,0.5,0.5,617,0
18/05/2015,18-May-15,0.48,0.52,618,-4.0000000000000036E-2
26/05/2015,26-May-15,0.47,0.53,626,-6.0000000000000053E-2
"23–24, 30–31 May 2015",31-May-15,0.48,0.52,631,-4.0000000000000036E-2
02/06/2015,02-Jun-15,0.48,0.52,633,-4.0000000000000036E-2
02/06/2015,02-Jun-15,0.48,0.52,633,-4.0000000000000036E-2
11–13 Jun 2015,13-Jun-15,0.45500000000000002,0.54500000000000004,644,-9.0000000000000024E-2
11–13 Jun 2015,13-Jun-15,0.47,0.53,644,-6.0000000000000053E-2
13–14 Jun 2015,14-Jun-15,0.48,0.52,645,-4.0000000000000036E-2
16/06/2015,16-Jun-15,0.46500000000000002,0.53500000000000003,647,-7.0000000000000007E-2
16/06/2015,16-Jun-15,0.49,0.51,647,-2.0000000000000018E-2
27–28 Jun 2015,28-Jun-15,0.47,0.53,659,-6.0000000000000053E-2
2–4 Jul 2015,04-Jul-15,0.48,0.52,665,-4.0000000000000036E-2
4–5 Jul 2015,05-Jul-15,0.49,0.51,666,-2.0000000000000018E-2
11–12 Jul 2015,12-Jul-15,0.48,0.52,673,-4.0000000000000036E-2
14–17 Jul 2015,17-Jul-15,0.47,0.53,678,-6.0000000000000053E-2
16–19 Jul 2015,19-Jul-15,0.46,0.54,680,-8.0000000000000016E-2
25–26 Jul 2015,26-Jul-15,0.47,0.53,687,-6.0000000000000053E-2
30/07/2015,30-Jul-15,0.47,0.53,691,-6.0000000000000053E-2
28–31 Jul 2015,31-Jul-15,0.47,0.53,692,-6.0000000000000053E-2
06/08/2015,06-Aug-15,0.47,0.53,698,-6.0000000000000053E-2
4–7 Aug 2015,07-Aug-15,0.46,0.54,699,-8.0000000000000016E-2
8–9 Aug 2015,09-Aug-15,0.48,0.52,701,-4.0000000000000036E-2
8–9 Aug 2015,09-Aug-15,0.43,0.56999999999999995,701,-0.13999999999999996
11–14 Aug 2015,14-Aug-15,0.44,0.56000000000000005,706,-0.12000000000000005
13–15 Aug 2015,15-Aug-15,0.46,0.54,707,-8.0000000000000016E-2
22–23 Aug 2015,23-Aug-15,0.47,0.53,715,-6.0000000000000053E-2
20–23 Aug 2015,23-Aug-15,0.45500000000000002,0.54500000000000004,715,-9.0000000000000024E-2
27/08/2015,27-Aug-15,0.48,0.52,719,-4.0000000000000036E-2
26–30 Aug 2015,30-Aug-15,0.46,0.54,722,-8.0000000000000016E-2
5–6 Sep 2015,06-Sep-15,0.43,0.56999999999999995,729,-0.13999999999999996
4–6 Sep 2015,06-Sep-15,0.45,0.55000000000000004,729,-0.10000000000000003
12–13 Sep 2015,13-Sep-15,0.5,0.5,736,0
15/09/2015,15-Sep-15,0.51,0.49,738,2.0000000000000018E-2
15–16 Sep 2015,16-Sep-15,0.51,0.49,739,2.0000000000000018E-2
19–20 Sep 2015,20-Sep-15,0.5,0.5,743,0
17–20 Sep 2015,20-Sep-15,0.55000000000000004,0.45,743,0.10000000000000003
17–21 Sep 2015,21-Sep-15,0.52,0.48,744,4.0000000000000036E-2
24–28 Sep 2015,28-Sep-15,0.52,0.48,751,4.0000000000000036E-2
1–4 Oct 2015,04-Oct-15,0.56000000000000005,0.44,757,0.12000000000000005
"26–27 Sep, 1–5 Oct 2015",05-Oct-15,0.5,0.5,758,0
9–11 Oct 2015,11-Oct-15,0.51,0.49,764,2.0000000000000018E-2
13/10/2015,13-Oct-15,0.54,0.46,766,8.0000000000000016E-2
15–17 Oct 2015,17-Oct-15,0.56000000000000005,0.44,770,0.12000000000000005
"10–11, 17–18 Oct 2015",18-Oct-15,0.51,0.49,771,2.0000000000000018E-2
20/10/2015,20-Oct-15,0.53,0.47,773,6.0000000000000053E-2
22/10/2015,22-Oct-15,0.52,0.48,775,4.0000000000000036E-2
23–25 Oct 2015,25-Oct-15,0.52,0.48,778,4.0000000000000036E-2
27/10/2015,27-Oct-15,0.56499999999999995,0.435,780,0.12999999999999995
"24–25 Oct, 1 Nov 2015","24–25 Oct, 1 Nov 2015",0.53,0.47,#VALUE!,6.0000000000000053E-2
03/11/2015,03-Nov-15,0.53,0.47,787,6.0000000000000053E-2
6–8 Nov 2015,08-Nov-15,0.52,0.48,792,4.0000000000000036E-2
10/11/2015,10-Nov-15,0.56999999999999995,0.43,794,0.13999999999999996
12–14 Nov 2015,14-Nov-15,0.56000000000000005,0.44,798,0.12000000000000005
"7–8, 14–15 Nov 2015",15-Nov-15,0.53,0.47,799,6.0000000000000053E-2
19–22 Nov 2015,22-Nov-15,0.52,0.48,806,4.0000000000000036E-2
24/11/2015,24-Nov-15,0.55000000000000004,0.45,808,0.10000000000000003
26/11/2015,26-Nov-15,0.56000000000000005,0.44,810,0.12000000000000005
"21–22, 28–29 Nov 2015",29-Nov-15,0.51,0.49,813,2.0000000000000018E-2
01/12/2015,01-Dec-15,0.53,0.47,815,6.0000000000000053E-2
4–6 Dec 2015,06-Dec-15,0.51,0.49,820,2.0000000000000018E-2
08/12/2015,08-Dec-15,0.57499999999999996,0.42499999999999999,822,0.14999999999999997
"5–6, 12–13 Dec 2015",13-Dec-15,0.52,0.48,827,4.0000000000000036E-2
15/12/2015,15-Dec-15,0.56000000000000005,0.44,829,0.12000000000000005
"2–3, 9–10 Jan 2016",10-Jan-16,0.51,0.49,855,2.0000000000000018E-2
15–18 Jan 2016,18-Jan-16,0.55000000000000004,0.45,863,0.10000000000000003
21/01/2016,21-Jan-16,0.55000000000000004,0.45,866,0.10000000000000003
"16–17, 23–24 Jan 2016",24-Jan-16,0.53,0.47,869,6.0000000000000053E-2
28–31 Jan 2016,31-Jan-16,0.52500000000000002,0.47499999999999998,876,5.0000000000000044E-2
3–7 Feb 2016,07-Feb-16,0.54,0.46,883,8.0000000000000016E-2
"30–31 Jan, 6–7 Feb 2016",07-Feb-16,0.52,0.48,883,4.0000000000000036E-2
11/02/2016,11-Feb-16,0.52,0.48,887,4.0000000000000036E-2
11–13 Feb 2016,13-Feb-16,0.52500000000000002,0.47499999999999998,889,5.0000000000000044E-2
18–21 Feb 2016,21-Feb-16,0.5,0.5,897,0
17–21 Feb 2016,21-Feb-16,0.5,0.5,897,0
"13–14, 20–21 Feb 2016",21-Feb-16,0.52,0.48,897,4.0000000000000036E-2
24–28 Feb 2016,28-Feb-16,0.53,0.47,904,6.0000000000000053E-2
3–6 Mar 2016,06-Mar-16,0.53,0.47,911,6.0000000000000053E-2
2–6 Mar 2016,06-Mar-16,0.5,0.5,911,0
"27–28 Feb, 5–6 Mar 2016",06-Mar-16,0.5,0.5,911,0
10–12 Mar 2016,12-Mar-16,0.495,0.505,917,-1.0000000000000009E-2
17–20 Mar 2016,20-Mar-16,0.52,0.48,925,4.0000000000000036E-2
16–20 Mar 2016,20-Mar-16,0.51,0.49,925,2.0000000000000018E-2
"12–13, 19–20 Mar 2016",20-Mar-16,0.5,0.5,925,0
21/03/2016,21-Mar-16,0.52500000000000002,0.47499999999999998,926,5.0000000000000044E-2
31 Mar – 3 Apr 2016,03-Apr-16,0.5,0.5,939,0
"26–27 Mar, 2–3 Apr 2016",03-Apr-16,0.49,0.51,939,-2.0000000000000018E-2
6–10 Apr 2016,10-Apr-16,0.5,0.5,946,0
14/04/2016,14-Apr-16,0.5,0.5,950,0
14–16 Apr 2016,16-Apr-16,0.5,0.5,952,0
14–17 Apr 2016,17-Apr-16,0.48,0.52,953,-4.0000000000000036E-2
13–17 Apr 2016,17-Apr-16,0.49,0.51,953,-2.0000000000000018E-2
"9–10, 16–17 Apr 2016",17-Apr-16,0.5,0.5,953,0
20–24 Apr 2016,24-Apr-16,0.49,0.51,960,-2.0000000000000018E-2
27 Apr – 1 May 2016,01-May-16,0.5,0.5,967,0
"23–24, 30 Apr – 1 May 2016",01-May-16,0.48,0.52,967,-4.0000000000000036E-2
05/05/2016,05-May-16,0.5,0.5,971,0
4–6 May 2016,06-May-16,0.51,0.49,972,2.0000000000000018E-2
5–7 May 2016,07-May-16,0.49,0.51,973,-2.0000000000000018E-2
6–8 May 2016,08-May-16,0.49,0.51,974,-2.0000000000000018E-2
5–8 May 2016,08-May-16,0.5,0.5,974,0
5–8 May 2016,08-May-16,0.49,0.51,974,-2.0000000000000018E-2
14–15 May 2016,15-May-16,0.51,0.49,981,2.0000000000000018E-2
12–15 May 2016,15-May-16,0.47499999999999998,0.52500000000000002,981,-5.0000000000000044E-2
19/05/2016,19-May-16,0.49,0.51,985,-2.0000000000000018E-2
17–19 May 2016,19-May-16,0.5,0.5,985,0
19–22 May 2016,22-May-16,0.48,0.52,988,-4.0000000000000036E-2
19–22 May 2016,22-May-16,0.49,0.51,988,-2.0000000000000018E-2
26/05/2016,26-May-16,0.49,0.51,992,-2.0000000000000018E-2
26–29 May 2016,29-May-16,0.49,0.51,995,-2.0000000000000018E-2
"21–22, 28–29 May 2016",29-May-16,0.51,0.49,995,2.0000000000000018E-2
02/06/2016,02-Jun-16,0.5,0.5,999,0
31 May – 2 Jun 2016,02-Jun-16,0.5,0.5,999,0
2–5 Jun 2016,05-Jun-16,0.5,0.5,1002,0
2–5 Jun 2016,05-Jun-16,0.5,0.5,1002,0
09/06/2016,09-Jun-16,0.49,0.51,1006,-2.0000000000000018E-2
9–12 Jun 2016,12-Jun-16,0.49,0.51,1009,-2.0000000000000018E-2
16/06/2016,16-Jun-16,0.5,0.5,1013,0
14–16 Jun 2016,16-Jun-16,0.51,0.49,1013,2.0000000000000018E-2
16–19 Jun 2016,19-Jun-16,0.5,0.5,1016,0
16–19 Jun 2016,19-Jun-16,0.49,0.51,1016,-2.0000000000000018E-2
20–22 Jun 2016,22-Jun-16,0.51,0.49,1019,2.0000000000000018E-2
23/06/2016,23-Jun-16,0.51,0.49,1020,2.0000000000000018E-2
23–26 Jun 2016,26-Jun-16,0.5,0.5,1023,0
23–26 Jun 2016,26-Jun-16,0.49,0.51,1023,-2.0000000000000018E-2
28–29 Jun 2016,29-Jun-16,0.505,0.495,1026,1.0000000000000009E-2
26–29 Jun 2016,29-Jun-16,0.51,0.49,1026,2.0000000000000018E-2
30/06/2016,30-Jun-16,0.505,0.495,1027,1.0000000000000009E-2
27–30 Jun 2016,30-Jun-16,0.51,0.49,1027,2.0000000000000018E-2
28 Jun – 1 Jul 2016,01-Jul-16,L/NP,ALP,1028,
