2013,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
,,,,,
,,ALP,Lib/Nat,,Net on 2PP (Incumbent - Oppositon) - 2013
07/09/2013,07-Sep-13,0.53,0.47,0,6.0000000000000053E-2
12–15 Sep 2013,15-Sep-13,0.51,0.49,8,2.0000000000000018E-2
21–22 Sep 2013,22-Sep-13,0.51500000000000001,0.48499999999999999,15,3.0000000000000027E-2
19–22 Sep 2013,22-Sep-13,0.505,0.495,15,1.0000000000000009E-2
19–20 Oct 2013,20-Oct-13,0.56000000000000005,0.44,43,0.12000000000000005
25–27 Oct 2013,27-Oct-13,0.53,0.47,50,6.0000000000000053E-2
8–10 Nov 2013,10-Nov-13,0.48,0.52,64,-4.0000000000000036E-2
21–23 Nov 2013,23-Nov-13,0.52,0.48,77,4.0000000000000036E-2
22–24 Nov 2013,24-Nov-13,0.48499999999999999,0.51500000000000001,78,-3.0000000000000027E-2
30 Nov–1 Dec 2013,01-Dec-13,0.52,0.48,85,4.0000000000000036E-2
28 Nov–2 Dec 2013,02-Dec-13,0.48,0.52,86,-4.0000000000000036E-2
6–8 Dec 2013,08-Dec-13,0.48,0.52,92,-4.0000000000000036E-2
15/12/2013,15-Dec-13,0.47499999999999998,0.52500000000000002,99,-5.0000000000000044E-2
16/12/2013,16-Dec-13,0.47499999999999998,0.52500000000000002,100,-5.0000000000000044E-2
13/01/2014,13-Jan-14,0.51,0.49,128,2.0000000000000018E-2
17–20 Jan 2014,20-Jan-14,0.47,0.53,135,-6.0000000000000053E-2
23/01/2014,23-Jan-14,0.47,0.53,138,-6.0000000000000053E-2
28/01/2014,28-Jan-14,0.49,0.51,143,-2.0000000000000018E-2
7–9 Feb 2014,09-Feb-14,0.52,0.48,155,4.0000000000000036E-2
15/02/2014,15-Feb-14,0.46,0.54,161,-8.0000000000000016E-2
23/02/2014,23-Feb-14,0.51,0.49,169,2.0000000000000018E-2
21–23 Feb 2014,23-Feb-14,0.495,0.505,169,-1.0000000000000009E-2
05/03/2014,05-Mar-14,0.49,0.51,179,-2.0000000000000018E-2
7–9 Mar 2014,09-Mar-14,0.51,0.49,183,2.0000000000000018E-2
13–15 Mar 2014,15-Mar-14,0.51,0.49,189,2.0000000000000018E-2
18/03/2014,18-Mar-14,0.48,0.52,192,-4.0000000000000036E-2
21–23 Mar 2014,23-Mar-14,0.51,0.49,197,2.0000000000000018E-2
25/03/2014,25-Mar-14,0.51,0.49,199,2.0000000000000018E-2
25/03/2014,25-Mar-14,0.45500000000000002,0.54500000000000004,199,-9.0000000000000024E-2
4–6 Apr 2014,06-Apr-14,0.48499999999999999,0.51500000000000001,211,-3.0000000000000027E-2
07/04/2014,07-Apr-14,0.49,0.51,212,-2.0000000000000018E-2
08/04/2014,08-Apr-14,0.48,0.52,213,-4.0000000000000036E-2
13/04/2014,13-Apr-14,0.5,0.5,218,0
15/04/2014,15-Apr-14,0.48,0.52,220,-4.0000000000000036E-2
22/04/2014,22-Apr-14,0.48,0.52,227,-4.0000000000000036E-2
30/04/2014,30-Apr-14,0.47,0.53,235,-6.0000000000000053E-2
04/05/2014,04-May-14,0.44,0.56000000000000005,239,-0.12000000000000005
2–4 May 2014,04-May-14,0.48,0.52,239,-4.0000000000000036E-2
15–17 May 2014,17-May-14,0.45,0.55000000000000004,252,-0.10000000000000003
17–18 May 2014,18-May-14,0.48,0.52,253,-4.0000000000000036E-2
