2019,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
24-Aug-20,24-Aug-20,0.46,0.44,464,2.0000000000000018E-2
10-Aug-20,10-Aug-20,0.54,0.46,450,8.0000000000000016E-2
26–29 Aug 2020,29-Aug-20,0.47,0.45,469,1.9999999999999962E-2
07-Sep-20,07-Sep-20,0.5,0.5,478,0
16–19 Sep 2020,19-Sep-20,0.45,0.47,490,-1.9999999999999962E-2
21-Sep-20,21-Sep-20,0.51,0.49,492,2.0000000000000018E-2
05-Oct-20,05-Oct-20,0.49,0.42,506,7.0000000000000007E-2
8–10 Oct 2020,10-Oct-20,0.47,0.46,511,9.9999999999999534E-3
12-Oct-20,12-Oct-20,0.52,0.48,513,4.0000000000000036E-2
14–19 Oct 2020,19-Oct-20,0.47,0.44,520,2.9999999999999971E-2
02-Nov-20,02-Nov-20,0.48,0.45,534,2.9999999999999971E-2
4–7 Nov 2020,07-Nov-20,0.44,0.46,539,-2.0000000000000018E-2
14 –22 Nov 2020,22-Nov-20,0.51,0.49,554,2.0000000000000018E-2
25–28 Nov 2020,28-Nov-20,0.45,0.47,560,-1.9999999999999962E-2
16-Nov-20,16-Nov-20,0.505,0.495,548,1.0000000000000009E-2
30-Nov-20,30-Nov-20,0.51,0.49,562,2.0000000000000018E-2
14-Dec-20,14-Dec-20,0.49,0.43,576,0.06
18-Jan-21,18-Jan-21,0.45,0.46,611,-1.0000000000000009E-2
27–30 Jan 2021,30-Jan-21,0.48,0.45,623,2.9999999999999971E-2
27 Jan–1 Feb 2021,01-Feb-21,0.5,0.5,625,0
6–14 Feb 2021,14-Feb-21,0.44,0.47,638,-2.9999999999999971E-2
15-Feb-21,15-Feb-21,0.495,0.505,639,-1.0000000000000009E-2
17–20 Feb 2021,20-Feb-21,0.47,0.47,644,0
01-Mar-21,01-Mar-21,0.5,0.5,653,0
10–13 Mar 2021,13-Mar-21,0.45,0.48,665,-2.9999999999999971E-2
6–14 Mar 2021,14-Mar-21,0.48,0.52,666,-4.0000000000000036E-2
15-Mar-21,15-Mar-21,0.495,0.505,667,-1.0000000000000009E-2
24–27 Mar 2021,27-Mar-21,0.47,0.47,679,0
29-Mar-21,29-Mar-21,0.48,0.52,681,-4.0000000000000036E-2
12-Apr-21,12-Apr-21,0.46,0.47,695,-9.9999999999999534E-3
21–24 Apr 2021,24-Apr-21,0.45,0.48,707,-2.9999999999999971E-2
26-Apr-21,26-Apr-21,0.49,0.51,709,-2.0000000000000018E-2
10-May-21,10-May-21,0.46,0.46,723,0
12–15 May 2021,15-May-21,0.44,0.48,728,-3.999999999999998E-2
24-May-21,24-May-21,0.49,0.51,737,-2.0000000000000018E-2
2–5 Jun 2021,05-Jun-21,0.44,0.48,749,-3.999999999999998E-2
29 May–6 Jun 2021,06-Jun-21,0.5,0.5,750,0
07-Jun-21,07-Jun-21,0.49,0.51,751,-2.0000000000000018E-2
12–20 Jun 2021,20-Jun-21,0.44,0.48,764,-3.999999999999998E-2
21-Jun-21,21-Jun-21,0.495,0.505,765,-1.0000000000000009E-2
23–26 Jun 2021,26-Jun-21,0.45,0.47,770,-1.9999999999999962E-2
05-Jul-21,05-Jul-21,0.49,0.51,779,-2.0000000000000018E-2
14–17 Jul 2021,17-Jul-21,0.44,0.48,791,-3.999999999999998E-2
10–18 Jul 2021,18-Jul-21,0.47,0.53,792,-6.0000000000000053E-2
19-Jul-21,19-Jul-21,0.47499999999999998,0.52500000000000002,793,-5.0000000000000044E-2
24–1 Aug 2021,01-Aug-21,0.45,0.47,806,-1.9999999999999962E-2
02-Aug-21,02-Aug-21,0.46500000000000002,0.53500000000000003,807,-7.0000000000000007E-2
4–7 Aug 2021,07-Aug-21,0.45,0.47,812,-1.9999999999999962E-2
7–15 Aug 2021,15-Aug-21,0.47,0.53,820,-6.0000000000000053E-2
16-Aug-21,16-Aug-21,0.46,0.54,821,-8.0000000000000016E-2
25–28 Aug 2021,28-Aug-21,0.45,0.47,833,-1.9999999999999962E-2
21–29 Aug 2021,29-Aug-21,0.46,0.54,834,-8.0000000000000016E-2
4–12 Sep 2021,12-Sep-21,0.45,0.48,848,-2.9999999999999971E-2
25–29 Aug 2021,29-Aug-21,0.45500000000000002,0.54500000000000004,834,-9.0000000000000024E-2
15–18 Sep 2021,18-Sep-21,0.46,0.46,854,0
8–12 Sep 2021,12-Sep-21,0.47499999999999998,0.52500000000000002,848,-5.0000000000000044E-2
18–26 Sep 2021,26-Sep-21,0.47,0.53,862,-6.0000000000000053E-2
29 Sep–2 Oct 2021,02-Oct-21,0.46,0.48,868,-1.9999999999999962E-2
22–26 Sep 2021,26-Sep-21,0.46,0.54,862,-8.0000000000000016E-2
02 Oct - 10 Oct 2021,10-Oct-21,0.47,0.53,876,-6.0000000000000053E-2
20–23 Oct 2021,23-Oct-21,0.45,0.46,889,-1.0000000000000009E-2
6–10 Oct 2021,10-Oct-21,0.47,0.53,876,-6.0000000000000053E-2
16–24 Oct 2021,24-Oct-21,0.46,0.54,890,-8.0000000000000016E-2
20–24 Oct 2021,24-Oct-21,0.44,0.49,890,-4.9999999999999989E-2
20–24 Oct 2021,24-Oct-21,0.46,0.54,890,-8.0000000000000016E-2
3–7 Nov 2021,07-Nov-21,0.44,0.46,904,-2.0000000000000018E-2
30 Oct – 7 Nov 2021,07-Nov-21,0.46500000000000002,0.53500000000000003,904,-7.0000000000000007E-2
10–13 Nov 2021,13-Nov-21,0.47,0.53,910,-6.0000000000000053E-2
17–21 Nov 2021,21-Nov-21,0.45,0.48,918,-2.9999999999999971E-2
13–21 Nov 2021,21-Nov-21,0.44500000000000001,0.55500000000000005,918,-0.11000000000000004
1–4 Dec 2021,04-Dec-21,0.47,0.53,931,-6.0000000000000053E-2
1–5 Dec 2021,05-Dec-21,0.45,0.48,932,-2.9999999999999971E-2
27–5 Dec 2021,05-Dec-21,0.435,0.56499999999999995,932,-0.12999999999999995
8–13 Dec 2021,13-Dec-21,0.45,0.47,940,-1.9999999999999962E-2
11–19 Dec 2021,19-Dec-21,0.44500000000000001,0.55500000000000005,946,-0.11000000000000004
4–16 Jan 2022,16-Jan-22,0.44,0.56000000000000005,974,-0.12000000000000005
20–23 Jan 2022,23-Jan-22,0.43,0.5,981,-7.0000000000000007E-2
27–30 Jan 2022,30-Jan-22,0.44,0.56000000000000005,988,-0.12000000000000005
17–30 Jan 2022,30-Jan-22,0.435,0.56499999999999995,988,-0.12999999999999995
2–6 Feb 2022,06-Feb-22,0.46,0.47,995,-9.9999999999999534E-3
9–12 Feb 2022,12-Feb-22,0.45,0.55000000000000004,1001,-0.10000000000000003
31 Jan–13 Feb 2022,13-Feb-22,0.43,0.56999999999999995,1002,-0.13999999999999996
17–20 Feb 2022,20-Feb-22,0.45,0.49,1009,-3.999999999999998E-2
14–23 Feb 2022,23-Feb-22,0.435,0.56499999999999995,1012,-0.12999999999999995
23–26 Feb 2022,26-Feb-22,0.45,0.55000000000000004,1015,-0.10000000000000003
24 Feb–3 Mar 2022,03-Mar-22,0.435,0.56499999999999995,1020,-0.12999999999999995
2–6 Mar 2022,06-Mar-22,0.44,0.49,1023,-4.9999999999999989E-2
9–12 Mar 2022,12-Mar-22,0.45,0.55000000000000004,1029,-0.10000000000000003
3–13 Mar 2022,13-Mar-22,0.44,0.56000000000000005,1030,-0.12000000000000005
14–20 Mar 2022,20-Mar-22,0.42,0.57999999999999996,1037,-0.15999999999999998
21–27 Mar 2022,27-Mar-22,0.44500000000000001,0.55500000000000005,1044,-0.11000000000000004
30 Mar–2 Apr 2022,02-Apr-22,0.45,0.5,1050,-4.9999999999999989E-2
30 Mar–2 Apr 2022,02-Apr-22,0.42,0.51,1050,-9.0000000000000024E-2
28 Mar–3 Apr 2022,03-Apr-22,0.43,0.56999999999999995,1051,-0.13999999999999996
31 Mar–3 Apr 2022,03-Apr-22,0.46,0.54,1051,-8.0000000000000016E-2
6–9 Apr 2022,09-Apr-22,0.47,0.53,1057,-6.0000000000000053E-2
4–10 Apr 2022,10-Apr-22,0.43,0.56999999999999995,1058,-0.13999999999999996
11–17 Apr 2022,17-Apr-22,0.45,0.55000000000000004,1065,-0.10000000000000003
14–17 Apr 2022,17-Apr-22,0.47,0.53,1065,-6.0000000000000053E-2
19–20 Apr 2022,20-Apr-22,0.46,0.47,1068,-9.9999999999999534E-3
20–23 Apr 2022,23-Apr-22,0.47,0.53,1071,-6.0000000000000053E-2
20–23 Apr 2022,23-Apr-22,0.45,0.55000000000000004,1071,-0.10000000000000003
18–24 Apr 2022,24-Apr-22,0.45500000000000002,0.54500000000000004,1072,-9.0000000000000024E-2
27–30 Apr 2022,30-Apr-22,0.45,0.49,1078,-3.999999999999998E-2
27–30 Apr 2022,30-Apr-22,0.47,0.53,1078,-6.0000000000000053E-2
27–30 Apr 2022,30-Apr-22,0.46,0.54,1078,-8.0000000000000016E-2
25 Apr–1 May 2022,01-May-22,0.44500000000000001,0.55500000000000005,1079,-0.11000000000000004
4–7 May 2022,07-May-22,0.46,0.54,1085,-8.0000000000000016E-2
4–7 May 2022,07-May-22,0.43,0.56999999999999995,1085,-0.13999999999999996
2–8 May 2022,08-May-22,0.45500000000000002,0.54500000000000004,1086,-9.0000000000000024E-2
10–13 May 2022,13-May-22,0.46,0.54,1091,-8.0000000000000016E-2
9–15 May 2022,15-May-22,0.47,0.53,1093,-6.0000000000000053E-2
14–16 May 2022,16-May-22,0.46,0.48,1094,-1.9999999999999962E-2
14–16 May 2022,16-May-22,0.46,0.48,1094,-1.9999999999999962E-2
12–17 May 2022,17-May-22,0.48799999999999999,0.51200000000000001,1095,-2.4000000000000021E-2
15–18 May 2022,18-May-22,0.47,0.53,1096,-6.0000000000000053E-2
13–19 May 2022,19-May-22,0.47,0.53,1097,-6.0000000000000053E-2
