2019,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
,,,,,
,,Lib/Nat,ALP,Days Since,Net on 2PP (Incumbent - Oppositon) 2019
25–28 Jul 2019,18-May-19,0.51529999999999998,0.48470000000000002,0,
15–18 Aug 2019,18-Aug-19,0.53,0.47,92,6.0000000000000053E-2
5–7 Sep 2019,07-Sep-19,0.51,0.49,112,2.0000000000000018E-2
26–29 Sep 2019,29-Sep-19,0.51,0.49,134,2.0000000000000018E-2
17–20 Oct 2019,20-Oct-19,0.51,0.49,155,2.0000000000000018E-2
7–10 Nov 2019,10-Nov-19,0.51,0.49,176,2.0000000000000018E-2
21–23 Nov 2019,23-Nov-19,0.5,0.5,189,0
4–8 Dec 2019,08-Dec-19,0.51,0.49,204,2.0000000000000018E-2
8–11 Jan 2020,11-Jan-20,0.52,0.48,238,4.0000000000000036E-2
29 Jan–1 Feb 2020,01-Feb-20,0.49,0.51,259,-2.0000000000000018E-2
19–22 Feb 2020,22-Feb-20,0.48,0.52,280,-4.0000000000000036E-2
11–14 Mar 2020,14-Mar-20,0.49,0.51,301,-2.0000000000000018E-2
1–3 Apr 2020,03-Apr-20,0.49,0.51,321,-2.0000000000000018E-2
22–25 Apr 2020,25-Apr-20,0.51,0.49,343,2.0000000000000018E-2
18–26 Apr 2020,26-Apr-20,0.5,0.5,344,0
13–16 May 2020,16-May-20,0.51500000000000001,0.48499999999999999,364,3.0000000000000027E-2
3–6 Jun 2020,06-Jun-20,0.51,0.49,385,2.0000000000000018E-2
08-Jun-20,08-Jun-20,0.51,0.49,387,2.0000000000000018E-2
15-Jun-20,15-Jun-20,0.47,0.45,394,1.9999999999999962E-2
13–21 Jun 2020,21-Jun-20,0.47,0.47,400,0
22-Jun-20,22-Jun-20,0.505,0.495,401,1.0000000000000009E-2
24–27 Jun 2020,27-Jun-20,0.48,0.46,406,1.9999999999999962E-2
29-Jun-20,29-Jun-20,0.51,0.49,408,2.0000000000000018E-2
13-Jul-20,13-Jul-20,0.47,0.45,422,1.9999999999999962E-2
15–18 Jul 2020,18-Jul-20,0.45,0.46,427,-1.0000000000000009E-2
11–19 Jul 2020,19-Jul-20,0.53,0.47,428,6.0000000000000053E-2
23–26 Jul 2020,26-Jul-20,0.51500000000000001,0.48499999999999999,435,3.0000000000000027E-2
5–8 Aug 2020,08-Aug-20,0.45,0.47,448,-1.9999999999999962E-2
8–16 Aug 2020,16-Aug-20,0.52,0.48,456,4.0000000000000036E-2
