Macquarie,Lib,34.55
McMahon,ALP,47.98
McMahon,UAP,9.11
McMahon,One,5.44
McMahon,Lib,28.33
McMahon,Grn,5.81
McMahon,LDP,3.33
Mitchell,LDP,3.43
Mitchell,UAP,3.62
Mitchell,Grn,11.83
Mitchell,ALP,25.51
Mitchell,One,3.01
Mitchell,Lib,52.61
New_England,LDP,3.26
New_England,UAP,2.62
New_England,Ind,2.78
New_England,Nat,52.47
New_England,Ind,7.87
New_England,One,4.7
New_England,Grn,7.74
New_England,ALP,18.56
Newcastle,CYA,1.04
Newcastle,Grn,20.07
Newcastle,UAP,2.38
Newcastle,ALP,44.07
Newcastle,IMO,1.08
Newcastle,Lib,24.44
Newcastle,One,4.5
Newcastle,AJP,2.41
North_Sydney,SPP,1.2
North_Sydney,UAP,1.78
North_Sydney,Grn,8.55
North_Sydney,TNL,0.91
North_Sydney,IMO,0.51
North_Sydney,LDP,1.16
North_Sydney,Lib,38.05
North_Sydney,Ind,25.2
North_Sydney,One,1.18
North_Sydney,ALP,21.45
Page,LDP,3.73
Page,One,5.38
Page,Grn,8.48
Page,CYA,0.78
Page,ALP,18.68
Page,IAP,1.66
Page,UAP,2.32
Page,Nat,45.62
Page,Ind,13.13
Page,TNL,0.23
Parkes,IAP,5.01
Parkes,LDP,6.42
Parkes,One,7.48
Parkes,Nat,49.32
Parkes,UAP,2.66
Parkes,Ind,2.46
Parkes,ALP,20.22
Parkes,Grn,4.73
Parkes,IMO,1.7
Parramatta,AJP,2.84
Parramatta,Lib,35
Parramatta,One,2.39
Parramatta,LDP,1.55
Parramatta,UAP,5.07
Parramatta,Grn,8.96
Parramatta,ALP,40.66
Parramatta,Ind,3.54
Paterson,One,8.15
Paterson,Lib,36.68
Paterson,ALP,40.67
Paterson,IMO,1.64
Paterson,Grn,7.55
Paterson,LDP,1.41
Paterson,UAP,3.89
Reid,ALP,41.61
Reid,SOPA,1.59
Reid,One,2.04
Reid,Ind,3.06
Reid,LDP,1.86
Reid,Lib,37.89
Reid,UAP,2.58
Reid,Grn,9.37
Richmond,Ind,1.28
Richmond,Ind,1.98
Richmond,IMO,2.28
Richmond,Ind,2.35
Richmond,LDP,7.7
Richmond,ALP,28.8
Richmond,Nat,23.35
Richmond,One,4.08
Richmond,Grn,25.27
Richmond,UAP,2.93
Riverina,One,8.15
Riverina,ALP,20.47
Riverina,UAP,2.62
Riverina,ASP,6.37
Riverina,Nat,46.57
Riverina,Ind,2.74
