'Electorate','ID1','ID2','Number',,, value
'Hunter','IND','UAPP',117,'HunterIND',11155,0.0104885701479157
'Hunter','IND','NP',259,'HunterIND',11155,0.0232182877633348
'Hunter','IND','ON',366,'HunterIND',11155,0.0328103989242492
'Hunter','AJP','GRN',888,'HunterAJP',2789,0.318393689494442
'Hunter','AJP','ALP',495,'HunterAJP',2789,0.177482968806024
'Hunter','AJP','IND',566,'HunterAJP',2789,0.202940121907494
'Hunter','AJP','UAPP',233,'HunterAJP',2789,0.0835424883470778
'Hunter','AJP','NP',254,'HunterAJP',2789,0.0910720688418788
'Hunter','AJP','ON',353,'HunterAJP',2789,0.126568662603084
'Hunter','UAPP','GRN',300,'HunterUAPP',4921,0.0609632188579557
'Hunter','UAPP','ALP',501,'HunterUAPP',4921,0.101808575492786
'Hunter','UAPP','IND',1165,'HunterUAPP',4921,0.236740499898395
'Hunter','UAPP','NP',864,'HunterUAPP',4921,0.175574070310912
'Hunter','UAPP','ON',2091,'HunterUAPP',4921,0.424913635439951
'Hunter','IND','GRN',1164,'HunterIND',11155,0.104347826086957
'Hunter','IND','ALP',1592,'HunterIND',11155,0.142716270730614
'Hunter','IND','NP',2024,'HunterIND',11155,0.181443298969072
'Hunter','IND','ON',4352,'HunterIND',11155,0.390138951142985
'Hunter','GRN','ALP',8992,'HunterGRN',12206,0.736686875307226
'Hunter','GRN','NP',2062,'HunterGRN',12206,0.168933311486154
'Hunter','GRN','ON',1152,'HunterGRN',12206,0.0943798132066197
'Hunter','ON','ALP',4862,'HunterON',19289,0.252060760018664
'Hunter','ON','NP',14427,'HunterON',19289,0.747939239981337
'Kingsford Smith','ON','GRN',313,'Kingsford SmithON',3051,0.102589314978696
'Kingsford Smith','ON','UAPP',1961,'Kingsford SmithON',3051,0.642740085217961
'Kingsford Smith','ON','LP',477,'Kingsford SmithON',3051,0.156342182890855
'Kingsford Smith','ON','ALP',300,'Kingsford SmithON',3051,0.0983284169124877
'Kingsford Smith','UAPP','GRN',1407,'Kingsford SmithUAPP',5349,0.263039820527201
'Kingsford Smith','UAPP','LP',2920,'Kingsford SmithUAPP',5349,0.54589642923911
'Kingsford Smith','UAPP','ALP',1022,'Kingsford SmithUAPP',5349,0.191063750233689
'Kingsford Smith','GRN','LP',3272,'Kingsford SmithGRN',18121,0.180563986534959
'Kingsford Smith','GRN','ALP',14849,'Kingsford SmithGRN',18121,0.819436013465041
'Lindsay','LDP','ALP',166,'LindsayLDP',1627,0.102028272894899
'Lindsay','LDP','GRN',73,'LindsayLDP',1627,0.0448678549477566
'Lindsay','LDP','ON',219,'LindsayLDP',1627,0.13460356484327
