ID1,ID2,Total,Percentage
DHJP,UAPP,727,10.69%
DPDA,AJP,107,4.59%
DPDA,ALP,537,23.03%
DPDA,Grn,570,24.44%
DPDA,LDP,177,7.59%
DPDA,LP,470,20.15%
DPDA,ON,114,4.89%
DPDA,SOPA,202,8.66%
DPDA,UAPP,155,6.65%
GAP,AJP,314,0.79%
GAP,ALP,4250,10.74%
GAP,AUC,211,0.53%
GAP,CYA,928,2.35%
GAP,Grn,3695,9.34%
GAP,GVIC,287,0.73%
GAP,IMO,600,1.52%
GAP,IND,1650,4.17%
GAP,KAP,570,1.44%
GAP,LDP,279,0.71%
GAP,LNP,576,1.46%
GAP,LP,2702,6.83%
GAP,NP,388,0.98%
GAP,ON,16593,41.94%
GAP,UAPP,4876,12.32%
GAP,VNS,66,0.17%
GAP,WAP,1582,4.00%
Grn,ALP,1016016,72.36%
Grn,ASP,673,0.05%
Grn,CLP,5158,0.37%
Grn,IAP,1401,0.10%
Grn,IND,63582,4.53%
Grn,JLN,4166,0.30%
Grn,KAP,3340,0.24%
Grn,LDP,1581,0.11%
Grn,LNP,74767,5.32%
Grn,LP,164100,11.69%
Grn,NP,16830,1.20%
Grn,ON,39255,2.80%
Grn,UAPP,5989,0.43%
Grn,XEN,7246,0.52%
GVIC,ALP,387046,74.97%
GVIC,IND,29424,5.70%
GVIC,LDP,95,0.02%
GVIC,LP,81781,15.84%
GVIC,NP,2953,0.57%
GVIC,ON,1712,0.33%
GVIC,UAPP,13289,2.57%
HMP,ALP,1653,21.12%
HMP,Grn,2677,34.21%
HMP,LNP,1005,12.84%
HMP,ON,2490,31.82%
IAP,AJP,226,2.32%
IAP,ALP,2942,30.22%
IAP,Grn,726,7.46%
IAP,IMO,131,1.35%
IAP,IND,492,5.05%
IAP,LDP,1704,17.50%
IAP,LP,111,1.14%
IAP,NP,1602,16.45%
IAP,ON,1605,16.49%
IAP,UAPP,197,2.02%
IMO,AJP,1153,3.87%
IMO,ALP,2624,8.80%
IMO,AUC,109,0.37%
IMO,GAP,276,0.93%
IMO,Grn,3723,12.49%
IMO,IAP,167,0.56%
IMO,IND,4108,13.78%
IMO,KAP,710,2.38%
IMO,LDP,1091,3.66%
IMO,LNP,918,3.08%
IMO,LP,1082,3.63%
IMO,NP,256,0.86%
IMO,ON,7285,24.43%
IMO,SAL,398,1.33%
IMO,SPP,265,0.89%
IMO,TNL,36,0.12%
IMO,UAPP,5472,18.35%
IMO,WAP,142,0.48%
IND,AJP,1573,0.33%
IND,ALP,173401,36.57%
IND,ASP,1361,0.29%
IND,CEC,9,0.00%
IND,CLP,204,0.04%
IND,DHJP,30,0.01%
IND,GAP,32,0.01%
IND,Grn,40341,8.51%
IND,GVIC,16806,3.54%
IND,IAP,350,0.07%
IND,IMO,571,0.12%
IND,IND,30055,6.34%
IND,JLN,5442,1.15%
IND,KAP,1941,0.41%
IND,LDP,7532,1.59%
IND,LNP,18353,3.87%
IND,LP,76689,16.17%
IND,NP,36826,7.77%
IND,ON,37675,7.95%
IND,SOPA,24,0.01%
IND,SPP,410,0.09%
IND,UAPP,23938,5.05%
IND,VNS,97,0.02%
IND,WAP,512,0.11%
JLN,ALP,22808,52.27%
JLN,Grn,4475,10.26%
JLN,LP,16348,37.47%
KAP,ALP,7759,26.51%
KAP,Grn,1762,6.02%
KAP,LNP,12799,43.73%
KAP,ON,6949,23.74%
LDP,AJP,1685,0.56%
LDP,ALP,39645,13.11%
LDP,ASP,307,0.10%
LDP,AUC,531,0.18%
LDP,AUVA,207,0.07%
LDP,CLP,4998,1.65%
LDP,CYA,278,0.09%
LDP,GAP,512,0.17%
LDP,Grn,16202,5.36%
LDP,GVIC,8870,2.93%
LDP,HMP,127,0.04%
LDP,IAP,38,0.01%
LDP,IMO,494,0.16%
LDP,IND,10441,3.45%
LDP,JLN,541,0.18%
LDP,LNP,11893,3.93%
LDP,LP,67794,22.42%
LDP,NP,29002,9.59%
LDP,ON,48831,16.15%
LDP,SOPA,159,0.05%
LDP,TLOC,236,0.08%
LDP,UAPP,57751,19.10%
LDP,VNS,189,0.06%
LDP,WAP,1450,0.48%
LDP,XEN,228,0.08%
LP,ALP,87893,50.87%
LP,Grn,24770,14.33%
LP,GVIC,16954,9.81%
LP,IND,26143,15.13%
LP,NP,17036,9.86%
NP,ALP,6902,26.29%
NP,Grn,188,0.72%
NP,IND,901,3.43%
NP,LP,16629,63.33%
NP,ON,1436,5.47%
NP,UAPP,200,0.76%
ON,AJP,363,0.03%
ON,ALP,274131,23.51%
ON,CLP,3859,0.33%
ON,Grn,115989,9.95%
ON,GVIC,16141,1.38%
ON,IND,69248,5.94%
ON,JLN,6242,0.54%
ON,KAP,4650,0.40%
ON,LDP,14555,1.25%
ON,LNP,212970,18.26%
ON,LP,236668,20.29%
ON,NP,89472,7.67%
ON,SAL,150,0.01%
ON,SOPA,166,0.01%
ON,SPP,86,0.01%
ON,TLOC,934,0.08%
ON,UAPP,116060,9.95%
ON,VNS,806,0.07%
ON,XEN,3757,0.32%
REAS,ALP,392,23.21%
REAS,GVIC,909,53.82%
REAS,LDP,130,7.70%
REAS,LP,155,9.18%
REAS,UAPP,103,6.10%
SAL,ALP,2875,18.44%
SAL,CYA,58,0.37%
SAL,GAP,87,0.56%
SAL,Grn,2994,19.20%
SAL,GVIC,4847,31.08%
SAL,KAP,761,4.88%
SAL,LDP,133,0.85%
SAL,LNP,1257,8.06%
SAL,LP,1108,7.11%
SAL,ON,676,4.34%
SAL,UAPP,751,4.82%
SAL,WAP,46,0.30%
SOPA,AJP,464,3.27%
SOPA,ALP,2360,16.61%
SOPA,Grn,5470,38.50%
SOPA,GVIC,814,5.73%
SOPA,IMO,120,0.84%
SOPA,IND,1020,7.18%
SOPA,KAP,76,0.53%
SOPA,LDP,141,0.99%
SOPA,LNP,53,0.37%
SOPA,LP,1157,8.14%
SOPA,NP,40,0.28%
SOPA,ON,653,4.60%
SOPA,SAL,117,0.82%
SOPA,UAPP,1435,10.10%
SOPA,VNS,289,2.03%
SPP,ALP,970,18.94%
SPP,DHJP,74,1.45%
SPP,Grn,1223,23.88%
SPP,GVIC,108,2.11%
SPP,IND,357,6.97%
SPP,LDP,982,19.18%
SPP,LP,441,8.61%
SPP,ON,583,11.38%
SPP,UAPP,383,7.48%
TLOC,ALP,1605,27.80%
TLOC,Grn,1661,28.77%
TLOC,IND,184,3.19%
TLOC,JLN,1534,26.57%
TLOC,LDP,18,0.31%
TLOC,LP,685,11.86%
TLOC,ON,41,0.71%
TLOC,UAPP,46,0.80%
TNL,AJP,67,1.04%
TNL,ALP,1071,16.60%
TNL,AUP,46,0.71%
TNL,CYA,106,1.64%
TNL,DPDA,15,0.23%
TNL,GAP,85,1.32%
TNL,Grn,918,14.23%
TNL,GVIC,607,9.41%
TNL,IAP,17,0.26%
TNL,IND,1289,19.98%
TNL,LDP,253,3.92%
TNL,LNP,306,4.74%
TNL,LP,458,7.10%
TNL,NP,27,0.42%
TNL,ON,671,10.40%
TNL,SPP,71,1.10%
TNL,UAPP,443,6.87%
UAPP,AJP,262,0.03%
UAPP,ALP,165966,19.19%
UAPP,ASP,1050,0.12%
UAPP,AUC,590,0.07%
UAPP,CLP,874,0.10%
UAPP,GAP,1680,0.19%
UAPP,Grn,59390,6.87%
UAPP,GVIC,37578,4.34%
UAPP,HMP,1033,0.12%
UAPP,IAP,322,0.04%
UAPP,IND,56544,6.54%
