,,,,,,,,,,
StateAb,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,CalculationType,CalculationValue
ACT,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Count,262
ACT,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Percent,6.2
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Preference Count,31075
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Preference Percent,31.58
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Transfer Count,1368
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Transfer Percent,32.37
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Count,0
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Percent,0
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Count,0
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Percent,0
ACT,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Count,45720
ACT,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Percent,46.47
ACT,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Count,3392
ACT,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Percent,33.71
ACT,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Count,0
ACT,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Percent,0
ACT,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Count,-10061
ACT,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Percent,-100
ACT,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Count,18911
ACT,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Percent,19.22
ACT,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Count,3981
ACT,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Percent,39.57
ACT,Bean,3,6,37198,HIATT,Jane,LP,Liberal,Preference Count,33763
ACT,Bean,3,6,37198,HIATT,Jane,LP,Liberal,Preference Percent,34.31
ACT,Bean,3,6,37198,HIATT,Jane,LP,Liberal,Transfer Count,2688
ACT,Bean,3,6,37198,HIATT,Jane,LP,Liberal,Transfer Percent,26.72
ACT,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Count,0
ACT,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Percent,0
ACT,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Count,0
ACT,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Percent,0
ACT,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Count,61935
ACT,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Percent,62.95
ACT,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Count,16215
ACT,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Percent,85.74
ACT,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Count,0
ACT,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Percent,0
ACT,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Count,0
ACT,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Percent,0
ACT,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Count,0
ACT,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Percent,0
ACT,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Count,-18911
ACT,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Percent,-100
ACT,Bean,4,6,37198,HIATT,Jane,LP,Liberal,Preference Count,36459
