Eliminated Party,Pref to,Number
ON,ALP,1155
ON,LP,1697
ON,GRN,237
ON,ON,1368
GRN,ALP,2260
GRN,LP,4119
GRN,GRN,1838
IND,GRN,73
IND,LP,384
IND,IND,125
IND,ASP,231
IND,ON,453
IND,UAPP,249
IND,ALP,80
UAPP,GRN,699
UAPP,LP,678
UAPP,ASP,754
UAPP,ON,375
UAPP,UAPP,238
UAPP,ALP,570
ASP,GRN,238
ASP,LP,530
ASP,ASP,689
ASP,ON,1914
ASP,ALP,386
GRN,GRN,799
GRN,LP,1971
GRN,ON,3003
GRN,ALP,1240
ON,LP,2914
ON,ON,1247
ON,ALP,6811
ON,ALP,412
ON,UAPP,271
ON,IND,357
ON,LP,839
ON,ON,143
ON,GRN,72
GRN,ALP,324
GRN,UAPP,1497
GRN,IND,642
GRN,LP,374
GRN,GRN,353
UAPP,ALP,2422
UAPP,UAPP,428
UAPP,IND,1144
UAPP,LP,622
LP,ALP,1853
LP,IND,4377
LP,LP,1478
UAPP,LP,255
UAPP,IND,91
UAPP,GRN,47
UAPP,UAPP,132
UAPP,ON,242
UAPP,ALP,123
IND,LP,440
IND,IND,745
IND,GRN,213
IND,ON,1553
IND,ALP,289
ON,LP,1029
ON,GRN,1212
ON,ON,2333
ON,ALP,983
GRN,LP,3825
GRN,GRN,2430
GRN,ALP,2326
SOPA,UAPP,21
SOPA,ALP,177
SOPA,LP,79
SOPA,SOPA,110
SOPA,IND,110
SOPA,ON,64
SOPA,GRN,587
ON,UAPP,44
ON,ALP,262
ON,LP,90
ON,IND,312
ON,ON,39
ON,GRN,585
IND,UAPP,831
IND,ALP,117
IND,LP,260
IND,IND,244
IND,GRN,100
UAPP,UAPP,373
UAPP,ALP,650
UAPP,LP,444
UAPP,GRN,1172
LP,ALP,744
LP,LP,1782
LP,GRN,844
ON,UAPP,75
ON,ALP,474
ON,LDP,72
ON,IND,442
ON,ON,47
ON,LP,397
ON,GRN,108
LDP,UAPP,973
LDP,ALP,389
LDP,LDP,258
LDP,IND,408
LDP,LP,512
LDP,GRN,217
IND,UAPP,496
IND,ALP,728
IND,IND,579
IND,LP,1410
IND,GRN,131
GRN,UAPP,2532
GRN,ALP,892
GRN,LP,746
GRN,GRN,531
UAPP,UAPP,1019
UAPP,ALP,5864
UAPP,LP,1190
IND,LP,517
IND,GRN,108
IND,IND,256
IND,UAPP,1162
IND,IND,343
IND,ALP,214
GRN,LP,477
GRN,GRN,337
GRN,IND,1761
GRN,UAPP,225
GRN,ALP,681
UAPP,LP,640
UAPP,IND,2622
UAPP,UAPP,290
UAPP,ALP,3011
IND,LP,4172
IND,IND,3162
IND,ALP,1529
IND,ALP,44
IND,UAPP,114
IND,ON,144
IND,IND,15
IND,ASP,76
IND,GRN,21
IND,LP,239
IND,IND,117
ASP,ALP,144
ASP,UAPP,48
ASP,ON,88
ASP,ASP,100
ASP,GRN,160
ASP,LP,78
ASP,IND,521
UAPP,ALP,412
UAPP,UAPP,434
UAPP,ON,953
UAPP,GRN,284
UAPP,LP,568
UAPP,IND,633
