ID1,ID2,Percentage
LDP,VNS,0.06
LDP,WAP,0.48
LDP,XEN,0.08
LP,ALP,50.87
LP,GRN,14.33
LP,GVIC,9.81
LP,IND,15.13
LP,NP,9.86
NP,ALP,26.29
NP,GRN,0.72
NP,IND,3.43
NP,LP,63.33
NP,ON,5.47
NP,UAPP,0.76
ON,AJP,0.03
ON,ALP,23.51
ON,CLP,0.33
ON,GRN,9.95
ON,GVIC,1.38
ON,IND,5.94
ON,JLN,0.54
ON,KAP,0.40
ON,LDP,1.25
ON,LNP,18.26
ON,LP,20.29
ON,NP,7.67
ON,SAL,0.01
ON,SOPA,0.01
ON,SPP,0.01
ON,TLOC,0.08
ON,UAPP,9.95
ON,VNS,0.07
ON,XEN,0.32
REAS,ALP,23.21
REAS,GVIC,53.82
REAS,LDP,7.70
REAS,LP,9.18
REAS,UAPP,6.10
SAL,ALP,18.44
SAL,CYA,0.37
SAL,GAP,0.56
SAL,GRN,19.20
SAL,GVIC,31.08
SAL,KAP,4.88
SAL,LDP,0.85
SAL,LNP,8.06
SAL,LP,7.11
SAL,ON,4.34
SAL,UAPP,4.82
SAL,WAP,0.30
SOPA,AJP,3.27
SOPA,ALP,16.61
SOPA,GRN,38.50
SOPA,GVIC,5.73
SOPA,IMO,0.84
SOPA,IND,7.18
SOPA,KAP,0.53
SOPA,LDP,0.99
SOPA,LNP,0.37
SOPA,LP,8.14
SOPA,NP,0.28
SOPA,ON,4.60
SOPA,SAL,0.82
SOPA,UAPP,10.10
SOPA,VNS,2.03
SPP,ALP,18.94
SPP,DHJP,1.45
SPP,GRN,23.88
SPP,GVIC,2.11
SPP,IND,6.97
SPP,LDP,19.18
SPP,LP,8.61
SPP,ON,11.38
SPP,UAPP,7.48
TLOC,ALP,27.80
TLOC,GRN,28.77
TLOC,IND,3.19
TLOC,JLN,26.57
TLOC,LDP,0.31
TLOC,LP,11.86
TLOC,ON,0.71
TLOC,UAPP,0.80
TNL,AJP,1.04
TNL,ALP,16.60
